"","name","Label","Code"
"1","Turd Flinging Monkey","Turd Flinging Monkey","F"
"2","Margo Party","Margo Party","FD"
"3","Yuri Tolochko","Yuri Tolochko","F"
"4","Celestina","Celestina","FD"
"5","Whitney Cummings","Whitney Cummings","F"
"6","LATRG","LATRG","M"
"7","Yuri Tolcohcko","Yuri Tolcohcko","F"
"8","Ex-Machina","Ex-Machina","SF"
"9","Sandman","Sandman","F"
"10","Matrix","Matrix","SF"
"11","Ultimate Boyfriend","Ultimate Boyfriend","M"
"12","Howard Stern","Howard Stern","M"
"13","Terminator / Skynet","Terminator / Skynet","SF"
"14","Cherry 2000","Cherry 2000","SF"
"15","HBO Real Sex","HBO Real Sex","M"
"16","Dummy","Dummy","M"
"17","Blade Runner","Blade Runner","SF"
"18","Serenity","Serenity","M"
"19","Monique","Monique","M"
"20","Real Humans","Real Humans","SF"
"21","Schaum Schwestern","Schaum Schwestern","SF"
"22","Boston Legal","Boston Legal","M"
"23","Her","Her","SF"
"24","Star Trek","Star Trek","SF"
