"","Source","Target"
"1","Loosey Goosey","Akasuki"
"2","Shelly","Alisha"
"3","Venus","Alisha"
"4","Winona","AS"
"5","Loosey Goosey","AS"
"6","Venus","AS"
"12","Evan","Casanova"
"16","Venus","DC"
"17","Helen","Desmond"
"18","Sean","Desmond"
"21","Helen","Evan"
"24","Ophelia","Gracie"
"31","Loosey Goosey","Jeff"
"44","Venus","LD"
"45","Jonathan","Loosey Goosey"
"46","Loosey Goosey","LS"
"52","Loosey Goosey","Moses"
"53","Sylvain","Moses"
"54","Shelly","Moses"
"55","Liam","Moses"
"56","Winona","Ms. S."
"57","Benji","Oliver"
"58","Mr. Leatherman","Oliver"
"59","Gary","Oliver"
"60","Mrs. Leatherman","Oliver"
"61","Sean","Ophelia"
"62","Ophelia","Pearl"
"63","Helen","Penny"
"64","Ryan","Quicksilver"
"66","Sylvain","Ronni"
"69","Ophelia","Sean"
"71","Sylvain","Shelly"
"73","Shelly","Sylvain"
"74","Venus","Sylvain"
"82","Sylvain","Venus"
"86","Ryan","Williow"
"89","Loosey Goosey","Zipporah"
"90","Sylvain","Zipporah"
